,time,open,high,low,close,tick_volume,spread,real_volume
32829,1667418300,0.9881,0.98822,0.98807,0.98814,105,0,0
32830,1667418360,0.9881,0.98838,0.9881,0.9883,65,0,0
32831,1667418420,0.9883,0.98844,0.98826,0.98844,73,0,0
32832,1667418480,0.98844,0.98867,0.98838,0.98863,110,0,0
32833,1667418540,0.98862,0.98881,0.98856,0.98881,71,0,0
32834,1667418600,0.98881,0.98901,0.9888,0.98896,109,0,0
32835,1667418660,0.98896,0.98918,0.98888,0.98897,121,0,0
32836,1667418720,0.98896,0.989,0.9887,0.98873,95,0,0
32837,1667418780,0.98871,0.98894,0.98871,0.98881,121,0,0
32838,1667418840,0.98882,0.98893,0.98869,0.98871,94,0,0
32839,1667418900,0.98871,0.98879,0.98859,0.9886,136,0,0
32840,1667418960,0.98859,0.98861,0.98826,0.98827,74,0,0
32841,1667419020,0.98827,0.9883,0.98796,0.98808,122,0,0
32842,1667419080,0.98808,0.98823,0.98799,0.98807,85,0,0
32843,1667419140,0.98807,0.9882,0.98777,0.98802,167,0,0
32844,1667419200,0.98803,0.99268,0.98756,0.99235,323,0,0
32845,1667419260,0.99239,0.99459,0.9921,0.99431,424,6,0
32846,1667419320,0.99397,0.99467,0.99364,0.99427,428,0,0
32847,1667419380,0.99436,0.99462,0.99341,0.99369,392,0,0
32848,1667419440,0.99376,0.99457,0.99367,0.99452,341,0,0
32849,1667419500,0.99451,0.9948,0.9941,0.9946,279,0,0
32850,1667419560,0.9946,0.99592,0.99451,0.99576,348,0,0
32851,1667419620,0.99573,0.99596,0.99458,0.995,368,0,0
32852,1667419680,0.99501,0.99561,0.99492,0.9954,341,0,0
32853,1667419740,0.9954,0.99584,0.9951,0.99528,273,0,0
32854,1667419800,0.99528,0.99575,0.99496,0.99523,315,0,0
32855,1667419860,0.99518,0.99545,0.99388,0.99421,340,0,0
32856,1667419920,0.9942,0.99496,0.9941,0.9941,380,0,0
32857,1667419980,0.99414,0.99451,0.99411,0.99439,284,0,0
32858,1667420040,0.99436,0.99466,0.99426,0.99433,229,0,0
32859,1667420100,0.9944,0.99518,0.99423,0.99427,330,0,0
32860,1667420160,0.99429,0.99496,0.99427,0.99454,275,0,0
32861,1667420220,0.99447,0.99498,0.99382,0.99382,298,0,0
32862,1667420280,0.99381,0.99451,0.99381,0.99434,324,0,0
32863,1667420340,0.99434,0.99465,0.99406,0.99448,278,0,0
32864,1667420400,0.99452,0.99466,0.99429,0.99429,315,0,0
32865,1667420460,0.99436,0.99437,0.9936,0.99368,327,0,0
32866,1667420520,0.99366,0.99447,0.99366,0.99417,340,0,0
32867,1667420580,0.99414,0.99429,0.99378,0.99426,256,0,0
32868,1667420640,0.99428,0.99451,0.99397,0.99405,244,0,0
32869,1667420700,0.9941,0.99437,0.99404,0.99423,248,0,0
32870,1667420760,0.99427,0.99454,0.99417,0.99422,258,0,0
32871,1667420820,0.99423,0.99441,0.99393,0.99427,270,0,0
32872,1667420880,0.99427,0.99479,0.99424,0.99442,237,0,0
32873,1667420940,0.99442,0.99453,0.99434,0.99444,251,0,0
32874,1667421000,0.99444,0.99501,0.99444,0.99498,282,0,0
32875,1667421060,0.99498,0.99619,0.9947,0.99581,403,0,0
32876,1667421120,0.99588,0.99668,0.99519,0.99635,408,0,0
32877,1667421180,0.99636,0.99671,0.99604,0.99642,335,0,0
32878,1667421240,0.99642,0.99679,0.99604,0.9963,389,0,0
32879,1667421300,0.99632,0.99761,0.99605,0.99754,385,0,0
32880,1667421360,0.99758,0.99758,0.99194,0.99235,473,0,0
32881,1667421420,0.99235,0.99303,0.99163,0.99164,432,0,0
32882,1667421480,0.99156,0.99201,0.99085,0.9919,446,0,0
32883,1667421540,0.99187,0.99421,0.9915,0.99412,413,0,0
32884,1667421600,0.99411,0.99411,0.9927,0.99273,415,0,0
32885,1667421660,0.99272,0.99395,0.99194,0.99336,442,0,0
32886,1667421720,0.99337,0.99419,0.99313,0.9934,438,0,0
32887,1667421780,0.99342,0.99406,0.99273,0.99326,358,0,0
32888,1667421840,0.99328,0.99341,0.99242,0.99282,374,0,0
32889,1667421900,0.99277,0.99294,0.99233,0.99283,325,0,0
32890,1667421960,0.99283,0.99327,0.99146,0.99177,377,0,0
32891,1667422020,0.99176,0.99201,0.99131,0.99131,361,5,0
32892,1667422080,0.99132,0.99159,0.99081,0.99119,404,0,0
32893,1667422140,0.99116,0.99176,0.99085,0.99099,386,0,0
32894,1667422200,0.991,0.99136,0.98836,0.98885,422,0,0
32895,1667422260,0.98886,0.98923,0.98774,0.98785,458,0,0
32896,1667422320,0.98787,0.98865,0.98744,0.98807,440,0,0
32897,1667422380,0.98811,0.98821,0.98749,0.98752,420,0,0
32898,1667422440,0.98749,0.98797,0.98732,0.98782,358,0,0
32899,1667422500,0.98785,0.98873,0.98752,0.98813,354,0,0
32900,1667422560,0.98813,0.9885,0.98806,0.98823,292,0,0
32901,1667422620,0.98823,0.98837,0.98753,0.98813,311,0,0
32902,1667422680,0.9881,0.98924,0.98803,0.98908,329,0,0
32903,1667422740,0.98904,0.98904,0.98848,0.98848,282,0,0
32904,1667422800,0.98846,0.98858,0.98798,0.98833,324,0,0
32905,1667422860,0.98833,0.98867,0.98796,0.9885,351,0,0
32906,1667422920,0.98849,0.98871,0.98772,0.98789,310,0,0
32907,1667422980,0.98788,0.98842,0.98753,0.98839,289,0,0
32908,1667423040,0.98839,0.98847,0.98763,0.98792,311,0,0
32909,1667423100,0.98793,0.98884,0.98773,0.98829,329,0,0
32910,1667423160,0.98829,0.9887,0.9881,0.98859,289,0,0
32911,1667423220,0.98861,0.98898,0.98847,0.98889,281,0,0
32912,1667423280,0.98892,0.98986,0.98866,0.98976,325,0,0
32913,1667423340,0.98973,0.99051,0.98967,0.99006,356,0,0
32914,1667423400,0.99006,0.99006,0.98892,0.98914,365,0,0
32915,1667423460,0.98915,0.9893,0.98875,0.98885,354,0,0
32916,1667423520,0.98886,0.98944,0.98868,0.98918,303,0,0
32917,1667423580,0.98918,0.98965,0.98902,0.9891,294,0,0
32918,1667423640,0.98905,0.98921,0.98868,0.98873,209,0,0
32919,1667423700,0.98872,0.98886,0.98841,0.98841,254,0,0
32920,1667423760,0.98841,0.98856,0.98772,0.98774,298,0,0
32921,1667423820,0.98774,0.98784,0.98721,0.98732,258,0,0
32922,1667423880,0.98732,0.98732,0.98683,0.98697,258,0,0
32923,1667423940,0.98697,0.98697,0.98617,0.98619,246,0,0
32924,1667424000,0.98619,0.98619,0.98436,0.98468,327,0,0
32925,1667424060,0.98471,0.98502,0.98317,0.98473,337,0,0
32926,1667424120,0.98474,0.98479,0.98407,0.98437,227,0,0
32927,1667424180,0.98443,0.98445,0.98369,0.98384,283,0,0
32928,1667424240,0.98385,0.98436,0.9835,0.98396,318,0,0
32929,1667424300,0.98391,0.98446,0.98357,0.98358,224,0,0
32930,1667424360,0.98359,0.98377,0.98327,0.98329,245,0,0
32931,1667424420,0.98326,0.98329,0.98249,0.9825,312,0,0
32932,1667424480,0.98252,0.98312,0.98225,0.98275,264,0,0
32933,1667424540,0.98273,0.9839,0.98272,0.98357,343,0,0
32934,1667424600,0.9836,0.9836,0.9827,0.98285,262,0,0
32935,1667424660,0.98286,0.98322,0.98267,0.98306,278,0,0
32936,1667424720,0.98305,0.98305,0.98227,0.98278,238,0,0
32937,1667424780,0.98278,0.98312,0.98243,0.98311,211,0,0
32938,1667424840,0.98312,0.98372,0.98311,0.98353,263,0,0
32939,1667424900,0.98352,0.9837,0.98327,0.98367,255,0,0
32940,1667424960,0.98367,0.98367,0.98328,0.98343,256,0,0
32941,1667425020,0.98345,0.98396,0.98329,0.98392,205,0,0
32942,1667425080,0.98392,0.98397,0.98371,0.98371,212,0,0
32943,1667425140,0.98371,0.98377,0.98351,0.98369,161,0,0
32944,1667425200,0.98369,0.98369,0.98317,0.98362,172,0,0
32945,1667425260,0.98362,0.98398,0.98341,0.98347,187,0,0
32946,1667425320,0.98346,0.9838,0.98327,0.98373,257,0,0
32947,1667425380,0.98371,0.98411,0.98365,0.98406,218,0,0
32948,1667425440,0.98405,0.98434,0.98394,0.98397,185,0,0
32949,1667425500,0.98395,0.98416,0.98392,0.98413,148,0,0
32950,1667425560,0.98413,0.98413,0.98393,0.98401,125,0,0
32951,1667425620,0.98401,0.98432,0.98394,0.98404,147,0,0
